#{"t_start": 1704643860.2348092, "env_id": "None"}
r,l,t
3.0,152,35.690539
1.0,152,35.690539
4.0,152,35.690539
1.0,160,37.598077
3.0,160,37.598077
2.0,160,37.598077
2.0,168,39.510678
0.0,168,39.511675
5.0,168,39.511675
4.0,168,39.511675
4.0,168,39.511675
3.0,168,39.511675
6.0,176,41.30793
4.0,176,41.30793
2.0,176,41.30793
5.0,192,45.166993
6.0,192,45.166993
1.0,192,45.166993
3.0,208,48.924718
4.0,208,48.924718
6.0,208,48.924718
4.0,240,56.827427
5.0,240,56.827427
4.0,240,56.827427
5.0,152,76.459562
2.0,152,76.459562
3.0,152,76.459562
3.0,176,78.380836
2.0,176,78.380836
3.0,176,78.380836
4.0,168,82.247892
2.0,168,82.247892
5.0,168,82.247892
8.0,168,86.071427
0.0,168,86.071427
3.0,168,86.071427
4.0,200,87.998611
3.0,200,87.998611
7.0,200,87.998611
7.0,216,89.949228
2.0,216,89.949228
5.0,216,89.949228
5.0,168,89.949228
2.0,168,89.949228
1.0,168,89.949228
6.0,152,93.944578
0.0,152,93.944578
3.0,152,93.944578
3.0,168,120.0574
1.0,168,120.0574
3.0,168,120.0574
2.0,152,120.0574
5.0,152,120.0574
3.0,152,120.0574
0.0,192,123.987847
3.0,192,123.987847
7.0,192,123.987847
5.0,160,125.991648
3.0,160,125.991648
0.0,160,125.991648
8.0,160,129.861182
3.0,160,129.861182
0.0,160,129.861182
6.0,152,131.864722
0.0,152,131.864722
1.0,152,131.864722
7.0,176,131.864722
5.0,176,131.864722
1.0,176,131.864722
5.0,216,143.921119
6.0,216,143.921119
6.0,216,143.921119
0.0,152,158.140212
3.0,152,158.140212
3.0,152,158.140212
6.0,176,164.003935
3.0,176,164.004932
5.0,176,164.004932
3.0,160,164.004932
2.0,160,164.004932
3.0,160,164.004932
3.0,160,166.081434
3.0,160,166.081434
3.0,160,166.081434
0.0,160,172.377236
3.0,160,172.377236
5.0,160,172.378233
6.0,248,192.694215
7.0,248,192.694215
4.0,248,192.694215
4.0,256,196.799846
3.0,256,196.799846
10.0,256,196.799846
6.0,224,200.68624
4.0,224,200.68624
8.0,224,200.68624
0.0,152,202.646268
6.0,152,202.646268
3.0,152,202.646268
0.0,200,208.593763
3.0,200,208.593763
8.0,200,208.593763
3.0,168,208.593763
7.0,168,208.593763
2.0,168,208.593763
0.0,216,218.477713
3.0,216,218.477713
5.0,216,218.477713
2.0,200,222.539082
5.0,200,222.539082
5.0,200,222.539082
1.0,152,235.181952
1.0,152,235.181952
3.0,152,235.181952
3.0,176,237.545053
6.0,176,237.545053
4.0,176,237.545053
7.0,168,243.76273
4.0,168,243.76273
3.0,168,243.76273
3.0,168,245.74766
3.0,168,245.74766
3.0,168,245.74766
5.0,152,247.640953
2.0,152,247.640953
1.0,152,247.641917
7.0,184,255.593939
1.0,184,255.593939
2.0,184,255.593939
4.0,168,265.928461
4.0,168,265.928461
4.0,168,265.928461
4.0,152,274.007411
3.0,152,274.007411
3.0,152,274.007411
5.0,224,275.980341
4.0,224,275.980341
2.0,224,275.980341
4.0,176,282.252555
3.0,176,282.252555
2.0,176,282.252555
1.0,160,286.422508
3.0,160,286.422508
6.0,160,286.422508
4.0,152,286.422508
3.0,152,286.422508
1.0,152,286.422508
7.0,176,288.564444
4.0,176,288.564444
4.0,176,288.564444
2.0,184,313.104812
5.0,184,313.104812
5.0,184,313.104812
7.0,160,315.110506
6.0,160,315.110506
0.0,160,315.111503
3.0,152,315.111503
6.0,152,315.111503
1.0,152,315.111503
7.0,256,321.275934
6.0,256,321.275934
2.0,256,321.275934
3.0,160,323.301039
2.0,160,323.301039
2.0,160,323.302036
5.0,152,325.259832
2.0,152,325.259832
5.0,152,325.259832
4.0,208,339.263021
6.0,208,339.263021
