#{"t_start": 1703442088.258216, "env_id": "None"}
r,l,t
0.0,164,2.622264
2.0,164,2.622264
1.0,164,2.622264
0.0,164,2.622264
0.0,164,2.622264
1.0,164,2.622264
4.0,184,2.917532
1.0,184,2.917532
2.0,184,2.917532
1.0,184,2.917532
1.0,204,3.20573
3.0,204,3.206727
3.0,224,3.510162
0.0,224,3.510162
3.0,224,3.510162
4.0,224,3.510162
1.0,164,5.12656
3.0,164,5.12656
1.0,164,5.12656
0.0,164,5.12656
1.0,164,5.12656
2.0,164,5.12656
2.0,204,6.012773
0.0,204,6.013803
1.0,204,6.013803
1.0,204,6.013803
3.0,224,6.597264
2.0,224,6.597264
2.0,224,6.889482
1.0,224,6.889482
0.0,164,7.562006
1.0,164,7.562006
2.0,164,7.562006
1.0,164,7.562006
6.0,284,7.79046
3.0,284,7.79046
1.0,184,7.855287
3.0,184,7.855287
3.0,184,8.731176
1.0,184,8.731176
1.0,204,9.044604
2.0,204,9.044604
1.0,184,9.644
1.0,184,9.644
5.0,224,9.940209
1.0,224,9.940209
2.0,164,10.000006
2.0,164,10.000006
0.0,164,10.000006
1.0,164,10.000006
1.0,204,10.822487
3.0,204,10.822487
0.0,164,11.18249
0.0,164,11.18249
3.0,244,11.480725
5.0,244,11.480725
0.0,204,12.071245
4.0,204,12.071245
1.0,184,12.668649
2.0,184,12.668649
0.0,204,12.668649
4.0,204,12.668649
0.0,184,12.726528
1.0,184,12.726528
2.0,184,12.726528
1.0,184,12.726528
1.0,204,13.907246
1.0,204,13.907246
1.0,244,14.87429
5.0,244,14.87429
3.0,204,15.202412
3.0,204,15.202412
0.0,164,15.202412
2.0,164,15.202412
3.0,164,15.265244
1.0,164,15.265244
1.0,184,15.558461
2.0,184,15.558461
1.0,204,15.782271
1.0,204,15.782271
1.0,289,15.855046
8.0,289,15.855046
4.0,164,16.390645
1.0,164,16.390645
1.0,111,16.862386
0.0,111,16.862386
1.0,129,17.48904
0.0,129,17.48904
1.0,164,17.700745
0.0,164,17.700745
4.0,224,18.583099
0.0,224,18.583099
3.0,164,18.89327
1.0,164,18.89327
2.0,204,18.974053
1.0,204,18.974053
0.0,158,19.293138
1.0,158,19.293138
0.0,324,19.827677
9.0,324,19.827677
3.0,264,19.827677
3.0,264,19.827677
0.0,204,20.657587
4.0,204,20.657587
2.0,204,20.909279
1.0,204,20.909279
2.0,164,21.940732
0.0,164,21.940732
1.0,184,21.940732
2.0,184,21.940732
4.0,244,22.788783
3.0,244,22.788783
1.0,184,22.788783
2.0,184,22.788783
0.0,204,23.093003
4.0,204,23.093003
0.0,164,23.503109
3.0,164,23.503109
4.0,344,23.979835
5.0,344,23.979835
0.0,244,24.477633
5.0,244,24.477633
1.0,184,24.719951
2.0,184,24.719951
1.0,204,25.037048
1.0,204,25.037048
1.0,184,25.602481
2.0,184,25.602481
2.0,184,26.360491
3.0,184,26.360491
1.0,164,26.55399
0.0,164,26.55399
6.0,244,26.55399
2.0,244,26.55399
1.0,164,27.355892
3.0,164,27.355892
1.0,184,27.412708
0.0,184,27.412708
3.0,324,28.133383
6.0,324,28.133383
0.0,204,28.263036
3.0,204,28.263036
2.0,224,29.144924
4.0,224,29.144924
1.0,164,29.144924
0.0,164,29.144924
4.0,204,29.58608
2.0,204,29.58608
3.0,224,30.171549
1.0,224,30.171549
2.0,184,30.370013
2.0,184,30.370013
2.0,224,30.923758
3.0,224,30.923758
0.0,164,30.923758
1.0,164,30.923758
2.0,204,31.399954
3.0,204,31.399954
1.0,184,38.025003
2.0,184,38.025003
4.0,184,38.025003
1.0,184,38.025003
3.0,164,38.155623
1.0,164,38.155623
2.0,184,39.026263
0.0,184,39.028431
1.0,184,39.22494
1.0,184,39.22494
2.0,164,39.477236
0.0,164,39.477236
2.0,204,40.133513
3.0,204,40.133513
2.0,204,40.597503
1.0,204,40.597503
1.0,164,40.772004
1.0,164,40.772004
0.0,184,40.939102
1.0,184,40.939102
0.0,184,40.939102
1.0,184,40.939102
1.0,164,41.521545
0.0,164,41.521545
0.0,164,41.71905
0.0,164,41.71905
4.0,204,42.606807
2.0,204,42.606807
0.0,184,43.394857
1.0,184,43.394857
1.0,164,43.466693
2.0,164,43.466693
2.0,184,43.58538
1.0,184,43.58538
1.0,164,44.075231
0.0,164,44.075231
5.0,284,44.479527
2.0,284,44.479527
1.0,238,44.608146
4.0,238,44.608146
0.0,204,44.898305
3.0,204,44.898305
1.0,184,45.457812
1.0,184,45.457812
0.0,164,46.048456
0.0,164,46.049452
0.0,184,46.519751
2.0,184,46.519751
1.0,164,46.704256
2.0,164,46.704256
1.0,164,47.07224
3.0,164,47.07224
0.0,164,47.532209
0.0,164,47.532209
2.0,264,47.582515
3.0,264,47.582515
3.0,224,48.177093
2.0,224,48.17809
1.0,184,48.412389
0.0,184,48.412389
0.0,184,48.931003
1.0,184,48.931003
1.0,164,49.053678
1.0,164,49.053678
1.0,184,49.554882
0.0,184,49.554882
1.0,184,49.914951
3.0,184,49.914951
1.0,184,50.327085
2.0,184,50.327085
0.0,184,50.370971
3.0,184,50.370971
1.0,184,50.948038
2.0,184,50.948038
0.0,164,52.065155
1.0,164,52.065155
0.0,244,52.143944
5.0,244,52.143944
3.0,253,52.800498
3.0,253,52.800498
0.0,184,53.174123
3.0,184,53.174123
0.0,184,53.220034
4.0,184,53.220034
1.0,187,53.805614
3.0,187,53.805614
1.0,264,53.933272
5.0,264,53.933272
3.0,324,53.976157
6.0,324,53.976157
2.0,184,54.800185
1.0,184,54.800185
2.0,204,55.17419
5.0,204,55.17419
0.0,164,55.228011
0.0,164,55.228011
2.0,184,55.843029
1.0,184,55.843029
2.0,184,55.891294
3.0,184,55.891294
2.0,164,56.373007
0.0,164,56.373007
0.0,184,56.51765
3.0,184,56.51765
0.0,184,56.635337
2.0,184,56.635337
1.0,164,57.569274
0.0,164,57.569274
3.0,204,57.778255
1.0,204,57.778255
2.0,204,58.202038
0.0,204,58.202038
0.0,164,58.266866
2.0,164,58.266866
1.0,185,58.633592
3.0,185,58.633592
1.0,164,58.914873
1.0,164,58.914873
0.0,164,59.035551
2.0,164,59.035551
1.0,184,59.08043
0.0,184,59.08043
4.0,164,59.990227
0.0,164,59.990227
1.0,164,60.238528
0.0,164,60.238528
1.0,164,60.656411
0.0,164,60.656411
3.0,204,61.311832
1.0,204,61.311832
0.0,164,61.517289
3.0,164,61.517289
4.0,212,61.760601
1.0,212,61.760601
2.0,191,61.857374
2.0,191,61.857374
1.0,244,62.492764
4.0,244,62.492764
1.0,164,63.010548
1.0,164,63.010548
4.0,222,63.433666
1.0,222,63.433666
2.0,264,63.840547
4.0,264,63.840547
1.0,164,63.88443
0.0,164,63.88443
1.0,164,64.248493
2.0,164,64.248493
