#{"t_start": 1703440891.3886433, "env_id": "None"}
r,l,t
2.0,164,2.769342
1.0,164,2.769342
1.0,164,2.769342
2.0,164,2.769342
4.0,184,3.121431
0.0,184,3.121431
0.0,184,3.121431
3.0,184,3.121431
1.0,204,3.431602
4.0,204,3.431602
4.0,204,3.432599
1.0,204,3.432599
2.0,204,3.432599
3.0,204,3.432599
4.0,284,4.628679
3.0,284,4.629667
0.0,164,5.291072
1.0,164,5.291072
3.0,164,5.577309
0.0,164,5.577309
1.0,164,5.874514
2.0,164,5.874514
1.0,184,5.874514
4.0,184,5.874514
2.0,204,6.487937
1.0,204,6.487937
3.0,204,6.487937
2.0,204,6.487937
3.0,264,6.775853
4.0,264,6.775853
2.0,204,7.777412
1.0,204,7.777412
2.0,184,8.144465
0.0,184,8.144465
