#{"t_start": 1703440909.1832943, "env_id": "None"}
r,l,t
1.0,164,2.458855
0.0,164,2.459851
0.0,164,2.459851
1.0,164,2.459851
0.0,164,2.459851
0.0,164,2.459851
4.0,164,2.459851
0.0,164,2.459851
1.0,164,2.459851
0.0,164,2.459851
2.0,204,3.025341
1.0,204,3.025341
1.0,204,3.025341
1.0,204,3.025341
2.0,224,3.31357
2.0,224,3.31357
1.0,164,4.855032
0.0,164,4.855032
1.0,164,4.855032
2.0,164,4.855032
1.0,164,4.855032
2.0,164,4.855032
1.0,184,5.134425
1.0,184,5.134425
2.0,204,5.429669
1.0,204,5.430671
0.0,164,5.720018
1.0,164,5.721016
2.0,204,5.995283
2.0,204,5.995283
0.0,224,6.294845
5.0,224,6.294845
0.0,164,7.212273
0.0,164,7.212273
0.0,164,7.212273
1.0,164,7.212273
2.0,184,8.133276
1.0,184,8.133276
1.0,164,8.134273
0.0,164,8.134273
4.0,224,8.422504
2.0,224,8.422504
5.0,244,8.422504
2.0,244,8.422504
0.0,184,8.713726
2.0,184,8.713726
0.0,164,8.713726
1.0,164,8.713726
0.0,164,9.663168
2.0,164,9.663168
0.0,164,9.663168
0.0,164,9.663168
2.0,164,10.568301
2.0,164,10.568301
0.0,164,10.86853
1.0,164,10.86853
4.0,204,11.150745
2.0,204,11.150745
1.0,204,11.447981
4.0,204,11.447981
2.0,204,11.72934
0.0,204,11.72934
5.0,224,12.020592
1.0,224,12.020592
2.0,164,12.07744
0.0,164,12.07744
0.0,164,12.948019
0.0,164,12.948019
2.0,244,13.238339
3.0,244,13.238339
2.0,164,13.864227
0.0,164,13.864227
0.0,204,14.735816
3.0,204,14.735816
2.0,184,14.794658
4.0,184,14.794658
3.0,224,15.3143
3.0,224,15.3143
4.0,284,15.3143
6.0,284,15.3143
2.0,204,15.941779
1.0,204,15.941779
3.0,204,16.22705
0.0,204,16.22705
2.0,164,16.22705
3.0,164,16.228045
7.0,424,17.050816
7.0,424,17.050816
4.0,164,17.108691
0.0,164,17.108691
0.0,184,17.466854
2.0,184,17.466854
2.0,204,18.2847
2.0,204,18.2847
5.0,244,18.894343
1.0,244,18.894343
3.0,184,18.955214
2.0,184,18.955214
1.0,204,19.229455
4.0,204,19.229455
