#{"t_start": 1704707917.7533824, "env_id": "None"}
r,l,t
2.0,159,38.582182
2.0,159,38.582182
3.0,159,38.583144
0.0,159,38.583144
2.0,159,38.583144
0.0,159,38.583144
1.0,159,38.583144
4.0,159,38.583144
1.0,159,38.583144
2.0,264,63.924505
5.0,264,63.924505
6.0,264,63.924505
9.0,264,63.924505
3.0,264,63.924505
3.0,264,63.924505
4.0,301,73.035987
6.0,301,73.035987
5.0,301,73.035987
2.0,301,73.035987
6.0,301,73.035987
5.0,301,73.035987
8.0,301,73.035987
3.0,301,73.036985
2.0,301,73.036985
1.0,159,77.304468
1.0,159,77.304468
4.0,159,77.304468
1.0,219,92.111728
1.0,219,92.111728
7.0,219,92.111728
1.0,159,103.172832
5.0,159,103.173829
0.0,159,103.173829
6.0,301,112.171873
7.0,301,112.171873
5.0,301,112.171873
3.0,234,121.476935
5.0,234,121.476935
3.0,234,121.476935
5.0,229,129.060524
2.0,229,129.060524
0.0,229,129.060524
3.0,234,130.233291
3.0,234,130.233291
0.0,234,130.233291
3.0,219,130.728966
3.0,219,130.728966
6.0,219,130.728966
2.0,249,133.957571
3.0,249,133.957571
6.0,249,133.957571
1.0,159,141.879125
5.0,159,141.879125
1.0,159,141.879125
4.0,219,145.564613
4.0,219,145.564613
1.0,219,145.564613
5.0,174,154.631627
0.0,174,154.632624
3.0,174,154.632624
0.0,174,173.341336
1.0,174,173.341336
2.0,174,173.341336
1.0,219,183.199548
4.0,219,183.199548
0.0,219,183.199548
2.0,204,184.459043
2.0,204,184.459043
3.0,204,184.459043
3.0,249,192.587091
2.0,249,192.587091
4.0,249,192.587091
4.0,294,194.120483
4.0,294,194.120483
4.0,294,194.120483
6.0,204,196.345066
2.0,204,196.345066
0.0,204,196.345066
4.0,301,216.750231
5.0,301,216.750231
8.0,301,216.750231
2.0,174,227.716034
4.0,174,227.716034
1.0,174,227.716034
5.0,301,229.445954
3.0,301,229.445954
8.0,301,229.445954
2.0,159,235.657409
1.0,159,235.657409
3.0,159,235.657409
4.0,189,239.429629
4.0,189,239.429629
2.0,189,239.429629
7.0,294,247.51324
3.0,294,247.51324
6.0,294,247.51324
4.0,249,259.95631
2.0,249,259.95631
1.0,249,259.95631
5.0,301,262.245688
3.0,301,262.245688
5.0,301,262.245688
3.0,189,268.351199
2.0,189,268.351199
1.0,189,268.351199
0.0,159,272.634263
2.0,159,272.634263
1.0,159,272.634263
0.0,219,298.654591
3.0,219,298.655603
4.0,219,298.655603
0.0,249,299.982956
6.0,249,299.982956
4.0,249,299.982956
3.0,159,312.342779
0.0,159,312.342779
3.0,159,312.342779
2.0,159,316.26283
3.0,159,316.26283
2.0,159,316.26283
2.0,249,317.852915
5.0,249,317.852915
4.0,249,317.852915
5.0,234,323.765545
2.0,234,323.765545
1.0,234,323.765545
5.0,301,324.049688
4.0,301,324.049688
5.0,301,324.049688
5.0,264,333.827037
0.0,264,333.827037
6.0,264,333.827037
3.0,159,340.051197
4.0,159,340.051197
0.0,159,340.051197
1.0,219,359.390196
4.0,219,359.390196
2.0,219,359.390196
0.0,174,366.333149
8.0,174,366.333149
0.0,174,366.333149
1.0,174,373.349613
3.0,174,373.349613
1.0,174,373.35061
1.0,174,373.66389
2.0,174,373.66389
2.0,174,373.66389
1.0,219,378.402154
2.0,219,378.402154
6.0,219,378.402154
2.0,174,394.037001
0.0,174,394.037001
3.0,174,394.037001
1.0,204,395.800323
2.0,204,395.800323
2.0,204,395.800323
4.0,301,399.793149
5.0,301,399.793149
4.0,301,399.793149
2.0,159,407.68011
2.0,159,407.68011
3.0,159,407.68011
0.0,189,421.733079
1.0,189,421.733079
4.0,189,421.733079
3.0,189,428.729374
2.0,189,428.729374
4.0,189,428.729374
4.0,159,437.363187
2.0,159,437.363187
1.0,159,437.363187
5.0,234,444.68942
6.0,234,444.68942
0.0,234,444.690385
3.0,189,450.287551
0.0,189,450.287551
3.0,189,450.287551
4.0,289,454.856927
3.0,289,454.856927
4.0,289,454.856927
4.0,249,462.159901
4.0,249,462.159901
5.0,249,462.159901
2.0,174,482.471685
1.0,174,482.471685
5.0,174,482.472654
2.0,301,487.035213
9.0,301,487.035213
3.0,301,487.035213
3.0,249,487.320451
5.0,249,487.320451
1.0,249,487.320451
4.0,189,493.438236
1.0,189,493.438236
1.0,189,493.438236
5.0,301,506.350747
5.0,301,506.350747
3.0,301,506.350747
3.0,219,506.607136
6.0,219,506.607136
0.0,219,506.607136
4.0,159,523.544915
0.0,159,523.544915
2.0,159,523.544915
4.0,249,526.746725
0.0,249,526.746725
6.0,249,526.746725
1.0,159,528.58949
3.0,159,528.58949
3.0,159,528.58949
4.0,174,532.563301
2.0,174,532.563301
0.0,174,532.563301
9.0,301,533.474592
2.0,301,533.474592
6.0,301,533.474592
0.0,174,606.048438
3.0,174,606.048438
4.0,174,606.048438
0.0,159,616.089847
2.0,159,616.089847
1.0,159,616.089847
3.0,174,619.828688
3.0,174,619.828688
1.0,174,619.829684
4.0,204,648.501343
1.0,204,648.501343
3.0,204,648.501343
4.0,219,657.932609
2.0,219,657.932609
1.0,219,657.932609
3.0,234,662.631017
3.0,234,662.631017
4.0,234,662.631017
3.0,219,664.549196
4.0,219,664.549196
2.0,219,664.549196
2.0,189,670.031346
1.0,189,670.032309
2.0,189,670.032309
5.0,279,670.032309
3.0,279,670.032309
1.0,279,670.032309
9.0,301,670.831364
3.0,301,670.831364
5.0,301,670.831364
1.0,301,695.429131
9.0,301,695.429131
3.0,301,695.429131
3.0,159,699.627266
3.0,159,699.627266
2.0,159,699.627266
2.0,159,706.458672
2.0,159,706.458672
1.0,159,706.458672
3.0,234,710.254709
3.0,234,710.254709
2.0,234,710.254709
1.0,204,724.046953
1.0,204,724.046953
2.0,204,724.046953
4.0,264,732.323211
4.0,264,732.324205
0.0,264,732.324205
0.0,189,745.741328
4.0,189,745.741328
1.0,189,745.741328
2.0,301,749.374127
10.0,301,749.374127
3.0,301,749.374127
10.0,301,750.154449
