#{"t_start": 1704670274.8163075, "env_id": "None"}
r,l,t
2.0,152,59.565753
0.0,152,59.565753
1.0,152,59.565753
1.0,152,59.565753
1.0,152,59.565753
4.0,152,59.567124
2.0,152,59.567194
1.0,152,59.567194
2.0,152,59.567194
3.0,176,66.780941
5.0,176,66.780941
4.0,176,66.780941
6.0,184,68.645045
2.0,184,68.645045
3.0,184,68.645045
1.0,200,72.274622
5.0,200,72.274622
4.0,200,72.274622
0.0,216,75.836416
5.0,216,75.836416
5.0,216,75.836416
11.0,304,96.091952
6.0,304,96.091952
6.0,304,96.091952
6.0,152,96.091952
0.0,152,96.091952
2.0,152,96.091952
4.0,160,97.940892
2.0,160,97.940892
7.0,160,97.940892
1.0,152,101.885761
2.0,152,101.885761
1.0,152,101.885761
4.0,192,105.762496
6.0,192,105.762496
3.0,192,105.771081
2.0,152,107.734946
0.0,152,107.734946
2.0,152,107.734946
2.0,152,111.6207
2.0,152,111.6207
3.0,152,111.6207
3.0,176,137.717366
0.0,176,137.717366
1.0,176,137.717366
1.0,176,139.550331
1.0,176,139.550331
5.0,176,139.550331
2.0,152,143.302884
2.0,152,143.302884
2.0,152,143.302884
5.0,200,143.302884
0.0,200,143.302884
7.0,200,143.302884
2.0,152,147.146345
1.0,152,147.146345
6.0,152,147.146345
3.0,192,150.818403
4.0,192,150.818403
4.0,192,150.818403
8.0,352,150.818403
12.0,352,150.818403
5.0,352,150.818403
6.0,232,156.429907
5.0,232,156.429907
1.0,232,156.429907
5.0,152,173.732947
4.0,152,173.732947
1.0,152,173.732947
1.0,160,185.511837
4.0,160,185.511837
5.0,160,185.511837
1.0,184,191.741539
5.0,184,191.741601
3.0,184,191.741601
2.0,160,193.80909
4.0,160,193.80909
1.0,160,193.80909
5.0,184,195.893451
5.0,184,195.893451
3.0,184,195.893451
3.0,152,197.941588
5.0,152,197.941588
1.0,152,197.941588
8.0,184,200.03374
3.0,184,200.03374
0.0,184,200.03374
7.0,264,208.167779
8.0,264,208.167779
5.0,264,208.167779
2.0,200,228.803575
8.0,200,228.803575
1.0,200,228.803575
2.0,176,230.896589
2.0,176,230.896589
4.0,176,230.896589
6.0,152,230.896589
3.0,152,230.896589
0.0,152,230.896589
5.0,168,237.20868
3.0,168,237.20868
3.0,168,237.20868
4.0,152,239.336467
1.0,152,239.336467
3.0,152,239.336467
2.0,160,239.336467
3.0,160,239.336467
5.0,160,239.336467
5.0,184,243.574492
7.0,184,243.574492
2.0,184,243.574492
3.0,152,247.291268
3.0,152,247.291268
3.0,152,247.291268
1.0,152,266.15708
5.0,152,266.15708
3.0,152,266.15708
4.0,152,268.070788
5.0,152,268.070788
1.0,152,268.070788
1.0,152,275.542499
4.0,152,275.542499
4.0,152,275.542499
2.0,152,279.396666
2.0,152,279.396666
4.0,152,279.396666
2.0,216,283.325999
6.0,216,283.326996
4.0,216,283.326996
6.0,200,287.020859
4.0,200,287.021857
4.0,200,287.021857
2.0,224,290.771437
6.0,224,290.771437
5.0,224,290.771437
6.0,224,300.404732
2.0,224,300.404732
6.0,224,300.404732
3.0,152,302.211809
3.0,152,302.211809
0.0,152,302.211809
1.0,160,305.975675
6.0,160,305.975675
5.0,160,305.975675
3.0,160,313.440139
3.0,160,313.440139
2.0,160,313.440139
0.0,152,315.309828
1.0,152,315.309828
1.0,152,315.309828
2.0,168,322.837886
0.0,168,322.837886
7.0,168,322.837886
3.0,152,322.837886
5.0,152,322.837886
1.0,152,322.837886
5.0,176,332.369299
8.0,176,332.369299
3.0,176,332.369299
6.0,152,336.210672
0.0,152,336.210672
3.0,152,336.210672
1.0,152,338.132422
0.0,152,338.133392
4.0,152,338.133392
1.0,168,345.818687
3.0,168,345.818687
4.0,168,345.818687
7.0,168,353.478155
1.0,168,353.478155
4.0,168,353.478155
0.0,176,364.6992
5.0,176,364.6992
4.0,176,364.6992
8.0,232,370.477405
5.0,232,370.477405
4.0,232,370.478403
2.0,160,374.226987
5.0,160,374.226987
2.0,160,374.226987
3.0,184,375.956099
3.0,184,375.956099
5.0,184,375.956099
7.0,224,375.956099
2.0,224,375.956099
4.0,224,375.956099
0.0,152,381.593983
3.0,152,381.59498
5.0,152,381.59498
3.0,200,385.362927
2.0,200,385.362927
6.0,200,385.362927
4.0,168,404.608405
2.0,168,404.608405
4.0,168,404.608405
5.0,160,412.206328
2.0,160,412.206328
2.0,160,412.206328
3.0,160,414.163905
3.0,160,414.163905
3.0,160,414.163905
7.0,192,416.131407
1.0,192,416.131407
3.0,192,416.131407
2.0,176,418.025232
3.0,176,418.025232
3.0,176,418.025232
8.0,280,419.850699
4.0,280,419.850699
9.0,280,419.850699
2.0,176,423.717967
3.0,176,423.717967
7.0,176,423.717967
0.0,192,431.630319
3.0,192,431.630319
10.0,192,431.630319
1.0,184,448.659053
4.0,184,448.659053
7.0,184,448.659053
1.0,160,450.577886
2.0,160,450.577886
4.0,160,450.577886
1.0,152,454.572804
1.0,152,454.572804
4.0,152,454.572804
7.0,184,458.417235
3.0,184,458.417235
5.0,184,458.417235
8.0,184,464.108529
1.0,184,464.108529
2.0,184,464.108529
3.0,200,464.108529
5.0,200,464.108529
1.0,200,464.108529
3.0,184,468.007769
7.0,184,468.007769
4.0,184,468.007769
4.0,184,475.718121
6.0,184,475.719087
0.0,184,475.719087
2.0,184,494.946723
4.0,184,494.946723
4.0,184,494.946723
5.0,200,496.956051
3.0,200,496.956051
5.0,200,496.956051
3.0,184,498.922756
5.0,184,498.923753
6.0,184,498.923753
1.0,152,500.859536
1.0,152,500.859536
5.0,152,500.859536
2.0,168,504.744598
